1,耂,0
2,而,0
3,耒,0
4,耳,0
5,聿,0
6,肅,0
7,肉,0
8,臣,0
9,自,0
10,臼,0
11,舌,0
12,舟,0
13,艮,0
14,良,0
15,艹,0
16,芈,0
17,虫,0
18,血,0
19,衣,0
20,衤,0
21,襾,0
22,西,0
23,覀,0
24,角,0
25,言,0
26,訁,0
27,讠,0
28,豆,0
29,豕,0
30,豸,0
31,贝,0
32,赤,0
33,身,0
34,車,0
35,车,0
36,辛,0
37,辶,0
38,酉,0
39,酋,0
40,里,0
41,重,0
42,釒,0
43,钅,0
44,長,0
45,镸,0
46,长,0
47,门,0
48,阝,0
49,隶,0
50,雨,0
51,非,0
52,面,0
53,革,0
54,韦,0
55,韭,0
56,頁,0
57,页,0
58,飞,0
59,飠,0
60,饣,0
61,马,0
62,鬼,0
63,鸟,0
64,鹵,0
65,麦,0
66,黽,0
67,龙,0
68,龜,0
69,〇,0
70,㐁,0
71,㐄,0
72,㐅,0
73,一,0
74,丁,0
75,七,0
76,丄,0
77,万,0
78,丈,0
79,三,0
80,上,0
81,下,0
82,丌,0
83,不,0
84,与,0
85,丏,0
86,丐,0
87,丑,0
88,专,0
89,且,0
90,世,0
91,丘,0
92,丙,0
93,业,0
94,东,0
95,丣,0
96,两,0
97,丨,0
98,丩,0
99,个,0
100,丫,0
101,丬,0
102,中,0
103,丰,0
104,丱,0
105,串,0
106,丶,0
107,丷,0
108,丸,0
109,丹,0
110,为,0
111,主,0
112,丿,0
113,乀,0
114,乁,0
115,乂,0
116,乃,0
117,乄,0
118,久,0
119,乇,0
120,么,0
121,义,0
122,乊,0
123,之,0
124,乌,0
125,乍,0
126,乎,0
127,乏,0
128,乐,0
129,乑,0
130,乖,0
131,乗,0
132,乘,0
133,乙,0
134,乚,0
135,乛,0
136,乜,0
137,九,0
138,乞,0
139,也,0
140,习,0
141,乡,0
142,书,0
143,亅,0
144,了,0
145,予,0
146,亊,0
147,二,0
148,于,0
149,亏,0
150,云,0
151,互,0
152,亓,0
153,五,0
154,井,0
155,亘,0
156,亚,0
157,亜,0
158,亟,0
159,亡,0
160,亥,0
161,亦,0
162,产,0
163,京,0
164,人,0
165,亻,0
166,儿,0
167,允,0
168,兂,0
169,元,0
170,入,0
171,內,0
172,八,0
173,其,0
174,冂,0
175,円,0
176,冉,0
177,册,0
178,冖,0
179,冘,0
180,农,0
181,冫,0
182,几,0
183,凡,0
184,凣,0
185,凵,0
186,凸,0
187,凹,0
188,出,0
189,击,0
190,刀,0
191,刁,0
192,刂,0
193,刃,0
194,力,0
195,办,0
196,勹,0
197,勺,0
198,匆,0
199,匕,0
200,匸,0
201,十,0
202,卅,0
203,升,0
204,半,0
205,卌,0
206,卍,0
207,卐,0
208,卜,0
209,卝,0
210,卞,0
211,卣,0
212,卤,0
213,卩,0
214,卪,0
215,卫,0
216,厂,0
217,厶,0
218,又,0
219,叉,0
220,及,0
221,发,0
222,口,0
223,史,0
224,噩,0
225,囗,0
226,囟,0
227,土,0
228,圡,0
229,垂,0
230,埀,0
231,士,0
232,壬,0
233,夂,0
234,夊,0
235,夕,0
236,大,0
237,太,0
238,夫,0
239,夬,0
240,夭,0
241,央,0
242,失,0
243,头,0
244,奭,0
245,女,0
246,子,0
247,孑,0
248,孒,0
249,孓,0
250,宀,0
251,寸,0
252,小,0
253,尔,0
254,尢,0
255,尤,0
256,尨,0
257,尸,0
258,尹,0
259,尺,0
260,屯,0
261,山,0
262,川,0
263,州,0
264,工,0
265,巨,0
266,己,0
267,已,0
268,巳,0
269,巴,0
270,巾,0
271,币,0
272,干,0
273,平,0
274,年,0
275,幺,0
276,广,0
277,廴,0
278,廾,0
279,廿,0
280,开,0
281,弋,0
282,弓,0
283,弗,0
