98,比,4,1535,U+6BD4,B1C8,bǐ,bi,3
99,互,4,1551,U+4E92,BBA5,hù,hu,4
100,切,4,1553,U+5207,C7D0,qiē,qie,1
101,瓦,4,1554,U+74E6,CDDF,wǎ,wa,3
102,止,4,2121,U+6B62,D6B9,zhǐ,zhi,3
103,少,4,2343,U+5C11,C9D9,shǎo,shao,3
104,日,4,2511,U+65E5,C8D5,rì,ri,4
105,中,4,2512,U+4E2D,D6D0,zhōnɡ,zhong,1
106,冈,4,2534,U+5188,B8D4,ɡānɡ,gang,1
107,贝,4,2534,U+8D1D,B1B4,bèi,bei,4
108,内,4,2534,U+5185,C4DA,nèi,nei,4
109,水,4,2534,U+6C34,CBAE,shuǐ,shui,3
110,见,4,2535,U+89C1,BCFB,jiàn,jian,4
111,午,4,3112,U+5348,CEE7,wǔ,wu,3
112,牛,4,3112,U+725B,C5A3,niú,niu,2
113,手,4,3112,U+624B,CAD6,shǒu,shou,3
114,毛,4,3115,U+6BDB,C3AB,máo,mao,2
115,气,4,3115,U+6C14,C6F8,qì,qi,4
116,升,4,3132,U+5347,C9FD,shēnɡ,sheng,1
117,长,4,3154,U+957F,B3A4,chánɡ,chang,2
118,仁,4,3211,U+4EC1,C8CA,rén,ren,2
119,什,4,3212,U+4EC0,CAB2,shí,shi,2
120,片,4,3215,U+7247,C6AC,piàn,pian,4
121,仆,4,3224,U+4EC6,C6CD,pú,pu,2
122,化,4,3235,U+5316,BBAF,huà,hua,4
123,仇,4,3235,U+4EC7,B3F0,chóu,chou,2
124,币,4,3252,U+5E01,B1D2,bì,bi,4
125,仍,4,3253,U+4ECD,C8D4,rénɡ,reng,2
126,仅,4,3254,U+4EC5,BDF6,jǐn,jin,3
127,斤,4,3312,U+65A4,BDEF,jīn,jin,1
128,爪,4,3324,U+722A,D7A6,zhǎo,zhao,3
129,反,4,3354,U+53CD,B7B4,fǎn,fan,3
130,介,4,3432,U+4ECB,BDE9,jiè,jie,4
131,父,4,3434,U+7236,B8B8,fù,fu,4
132,从,4,3434,U+4ECE,B4D3,cónɡ,cong,2
133,今,4,3445,U+4ECA,BDF1,jīn,jin,1
134,凶,4,3452,U+51F6,D0D7,xiōnɡ,xiong,1
135,分,4,3453,U+5206,B7D6,fēn,fen,1
136,乏,4,3454,U+4E4F,B7A6,fá,fa,2
