1,一,001
2,丨,001
3,亅,001
4,丿,001
5,丶,001
6,乁,001
7,乀,001
8,乛,001
9,乚,001
10,乙,001
11,二,001
12,丅,000
13,十,000
14,丁,000
15,厂,001
16,丆,001
17,匚,001
18,匸,001
19,七,001
20,丂,001
21,丄,001
22,刂,001
23,卜,001
24,冂,010
25,亻,011
26,八,101
27,人,101
28,入,101
29,乂,101
30,勹,100
31,儿,100
32,匕,100
33,几,100
34,九,100
35,亠,100
36,冫,100
37,丷,101
38,冖,110
39,讠,110
40,刁,111
41,了,111
42,凵,111
43,丩,111
44,卩,111
45,阝,111
46,刀,111
47,力,111
48,乃,111
49,又,111
50,厶,111
51,乄,111
52,廴,111
53,巜,111
54,乜,111
55,三,001
56,干,001
57,亍,001
58,于,001
59,亏,001
60,亐,001
61,工,000
62,土,000
63,士,000
64,扌,000
65,艹,000
66,卄,000
67,才,000
68,下,000
69,寸,000
70,丌,001
71,廾,001
72,大,001
73,丈,001
74,兀,001
75,尢,001
76,与,001
77,万,001
78,弋,001
79,夨,001
80,上,001
81,小,001
82,凣,001
83,口,010
84,囗,010
85,山,010
86,巾,010
87,千,011
88,乇,011
89,乞,011
90,川,011
91,亿,011
92,彳,101
93,彡,101
94,凢,101
95,亼,101
96,个,101
97,乊,101
98,亽,101
99,亾,101
100,兦,101
101,亇,100
102,犭,100
103,夕,100
104,久,100
105,夂,100
106,夊,100
107,么,100
108,勺,100
109,凡,100
110,丸,100
111,及,100
112,饣,100
113,丬,100
114,广,100
115,亡,100
116,门,101
117,丫,101
118,义,101
119,氵,110
120,忄,110
121,宀,110
122,辶,110
123,之,110
124,彐,111
125,卂,111
126,尸,111
127,己,111
128,已,111
129,巳,111
130,弓,111
131,孒,111
132,子,111
133,孑,111
134,卫,111
135,屮,111
136,孓,111
137,卪,111
138,也,111
139,女,111
140,乆,111
141,刃,111
142,刄,111
143,飞,111
144,劜,111
145,习,111
146,叉,111
147,马,111
148,彑,111
149,纟,111
150,乡,111
151,幺,111
152,巛,111
153,亖,001
154,丰,001
155,王,001
156,亓,001
157,开,001
158,井,001
159,天,001
160,夫,001
161,元,001
162,无,001
163,韦,001
164,云,001
165,弌,001
166,专,001
167,耂,000
168,圡,000
169,丐,000
170,圠,000
171,扎,000
172,廿,000
173,艺,000
174,木,000
175,朩,000
176,乤,000
177,五,000
178,帀,000
179,巿,000
180,邒,000
181,支,000
182,丏,000
183,厅,001
184,卅,001
185,不,001
186,冇,001
187,仄,001
188,犬,001
189,太,001
190,区,001
191,历,001
192,歹,001
193,友,001
194,厷,001
195,尤,001
196,厄,001
197,匹,001
198,辷,001
199,车,001
200,戸,001
201,巨,001
202,牙,001
203,屯,001
204,戈,001
205,旡,001
206,兂,001
207,比,001
208,互,001
209,切,001
210,瓦,001
211,卝,001
212,止,001
213,攴,001
214,少,001
215,尐,001
216,曰,010
217,日,010
218,冃,010
219,冄,010
220,中,010
221,円,010
222,乢,010
223,贝,010
224,罓,010
